StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,PerformanceCategory,AttendanceBucket,StudyHoursBucket,StressBucket
25,78,2,Unknown,1,Unknown,Male,18,Kinesthetic,Unknown,0,91,58,Unknown,2,2,Medium,Good (75–89%),Intensive (>=20 hrs),Low
25,78,0,Unknown,1,Unknown,Male,18,Kinesthetic,Unknown,0,91,58,Unknown,2,2,Medium,Good (75–89%),Intensive (>=20 hrs),Low
17,94,2,Unknown,2,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,94,1,Unknown,0,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,94,1,Unknown,1,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,94,1,Unknown,1,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,94,0,Unknown,2,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,94,0,Unknown,0,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,94,2,Unknown,1,Unknown,Male,19,Reading/Writing,Unknown,1,74,92,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
23,98,1,Unknown,1,Unknown,Male,27,Kinesthetic,Unknown,0,65,58,Unknown,2,2,Medium,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,1,Unknown,1,Unknown,Male,27,Auditory,Unknown,1,100,93,Unknown,2,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,1,Unknown,1,Unknown,Male,27,Kinesthetic,Unknown,0,65,58,Unknown,2,2,Medium,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,1,Unknown,1,Unknown,Male,27,Auditory,Unknown,1,100,93,Unknown,2,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,0,Unknown,1,Unknown,Male,27,Kinesthetic,Unknown,0,65,58,Unknown,2,2,Medium,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,0,Unknown,1,Unknown,Male,27,Auditory,Unknown,1,100,93,Unknown,2,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,2,Unknown,1,Unknown,Male,27,Kinesthetic,Unknown,0,65,58,Unknown,2,2,Medium,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,2,Unknown,1,Unknown,Male,27,Auditory,Unknown,1,100,93,Unknown,2,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,2,Unknown,0,Unknown,Male,27,Kinesthetic,Unknown,0,65,58,Unknown,2,2,Medium,Excellent (>=90%),Intensive (>=20 hrs),Low
23,98,2,Unknown,0,Unknown,Male,27,Auditory,Unknown,1,100,93,Unknown,2,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
17,80,2,Unknown,1,Unknown,Male,18,Auditory,Unknown,1,68,73,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,24,Reading/Writing,Unknown,1,64,69,Unknown,0,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,23,Visual,Unknown,1,68,87,Unknown,1,0,High,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,27,Visual,Unknown,0,64,88,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,29,Auditory,Unknown,1,73,78,Unknown,0,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,1,Unknown,1,Unknown,Male,18,Auditory,Unknown,1,68,73,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,1,Unknown,1,Unknown,Male,24,Reading/Writing,Unknown,1,64,69,Unknown,0,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,1,Unknown,1,Unknown,Male,23,Visual,Unknown,1,68,87,Unknown,1,0,High,Good (75–89%),Moderate (10–19 hrs),Low
17,80,1,Unknown,1,Unknown,Male,27,Visual,Unknown,0,64,88,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
17,80,1,Unknown,1,Unknown,Male,29,Auditory,Unknown,1,73,78,Unknown,0,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,18,Auditory,Unknown,1,68,73,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,24,Reading/Writing,Unknown,1,64,69,Unknown,0,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,23,Visual,Unknown,1,68,87,Unknown,1,0,High,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,27,Visual,Unknown,0,64,88,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
17,80,2,Unknown,1,Unknown,Male,29,Auditory,Unknown,1,73,78,Unknown,0,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,97,2,Unknown,0,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,0,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,1,Unknown,1,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,1,Unknown,1,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,2,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,2,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,1,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,1,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,1,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,1,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,0,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,2,Unknown,0,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,0,Unknown,1,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,0,Unknown,1,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,1,Unknown,1,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,1,Unknown,1,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,0,Unknown,2,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,0,Unknown,2,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,1,Unknown,0,Unknown,Male,27,Auditory,Unknown,0,64,87,Unknown,1,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
17,97,1,Unknown,0,Unknown,Male,25,Kinesthetic,Unknown,1,70,82,Unknown,1,1,High,Excellent (>=90%),Moderate (10–19 hrs),Low
21,83,1,Unknown,0,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,1,Unknown,0,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,1,Unknown,0,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,1,Unknown,0,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,1,Unknown,2,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,1,Unknown,2,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,0,Unknown,0,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,0,Unknown,0,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,0,Unknown,0,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,0,Unknown,0,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,2,Unknown,2,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,2,Unknown,2,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,2,Unknown,1,Unknown,Male,27,Kinesthetic,Unknown,0,66,86,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
21,83,2,Unknown,1,Unknown,Male,27,Visual,Unknown,1,77,96,Unknown,1,0,High,Good (75–89%),Intensive (>=20 hrs),Low
9,82,1,Unknown,1,Unknown,Male,18,Reading/Writing,Unknown,0,55,40,Unknown,2,3,Low,Good (75–89%),Low (1–9 hrs),Low
9,82,1,Unknown,1,Unknown,Male,25,Reading/Writing,Unknown,0,73,46,Unknown,2,3,Low,Good (75–89%),Low (1–9 hrs),Low
10,78,2,Unknown,1,Unknown,Male,27,Kinesthetic,Unknown,0,71,68,Unknown,2,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
10,78,2,Unknown,1,Unknown,Male,20,Reading/Writing,Unknown,0,85,78,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
17,68,1,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,75,42,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,1,Unknown,Female,24,Kinesthetic,Unknown,1,87,64,Unknown,2,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,1,Unknown,Female,20,Reading/Writing,Unknown,1,88,49,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,75,42,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,1,Unknown,Female,24,Kinesthetic,Unknown,1,87,64,Unknown,2,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,1,Unknown,Female,20,Reading/Writing,Unknown,1,88,49,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,2,Unknown,Female,19,Reading/Writing,Unknown,1,75,42,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,2,Unknown,Female,24,Kinesthetic,Unknown,1,87,64,Unknown,2,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,1,Unknown,2,Unknown,Female,20,Reading/Writing,Unknown,1,88,49,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,2,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,75,42,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,2,Unknown,1,Unknown,Female,24,Kinesthetic,Unknown,1,87,64,Unknown,2,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,2,Unknown,1,Unknown,Female,20,Reading/Writing,Unknown,1,88,49,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,0,Unknown,2,Unknown,Female,19,Reading/Writing,Unknown,1,75,42,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,0,Unknown,2,Unknown,Female,24,Kinesthetic,Unknown,1,87,64,Unknown,2,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
17,68,0,Unknown,2,Unknown,Female,20,Reading/Writing,Unknown,1,88,49,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
22,70,1,Unknown,1,Unknown,Female,22,Reading/Writing,Unknown,1,74,40,Unknown,2,3,Low,Moderate (60–74%),Intensive (>=20 hrs),Low
22,70,1,Unknown,0,Unknown,Female,22,Reading/Writing,Unknown,1,74,40,Unknown,2,3,Low,Moderate (60–74%),Intensive (>=20 hrs),Low
22,70,2,Unknown,2,Unknown,Female,22,Reading/Writing,Unknown,1,74,40,Unknown,2,3,Low,Moderate (60–74%),Intensive (>=20 hrs),Low
22,70,1,Unknown,0,Unknown,Female,22,Reading/Writing,Unknown,1,74,40,Unknown,2,3,Low,Moderate (60–74%),Intensive (>=20 hrs),Low
22,70,2,Unknown,1,Unknown,Female,22,Reading/Writing,Unknown,1,74,40,Unknown,2,3,Low,Moderate (60–74%),Intensive (>=20 hrs),Low
15,80,1,Unknown,0,Unknown,Female,23,Kinesthetic,Unknown,0,50,56,Unknown,1,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,0,Unknown,Female,21,Kinesthetic,Unknown,1,87,89,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,0,Unknown,Female,23,Auditory,Unknown,1,56,75,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,2,Unknown,1,Unknown,Female,23,Kinesthetic,Unknown,0,50,56,Unknown,1,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,2,Unknown,1,Unknown,Female,21,Kinesthetic,Unknown,1,87,89,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
15,80,2,Unknown,1,Unknown,Female,23,Auditory,Unknown,1,56,75,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,0,Unknown,2,Unknown,Female,23,Kinesthetic,Unknown,0,50,56,Unknown,1,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,0,Unknown,2,Unknown,Female,21,Kinesthetic,Unknown,1,87,89,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
15,80,0,Unknown,2,Unknown,Female,23,Auditory,Unknown,1,56,75,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,23,Kinesthetic,Unknown,0,50,56,Unknown,1,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,21,Kinesthetic,Unknown,1,87,89,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,23,Auditory,Unknown,1,56,75,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,23,Kinesthetic,Unknown,0,50,56,Unknown,1,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,21,Kinesthetic,Unknown,1,87,89,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,23,Auditory,Unknown,1,56,75,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,23,Kinesthetic,Unknown,0,50,56,Unknown,1,2,Medium,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,21,Kinesthetic,Unknown,1,87,89,Unknown,0,0,High,Good (75–89%),Moderate (10–19 hrs),Low
15,80,1,Unknown,1,Unknown,Female,23,Auditory,Unknown,1,56,75,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
12,75,2,Unknown,1,Unknown,Male,21,Visual,Unknown,1,66,71,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
12,75,2,Unknown,1,Unknown,Male,22,Kinesthetic,Unknown,1,55,48,Unknown,1,3,Low,Good (75–89%),Moderate (10–19 hrs),Low
12,75,2,Unknown,1,Unknown,Male,21,Visual,Unknown,1,66,71,Unknown,2,1,Medium,Good (75–89%),Moderate (10–19 hrs),Low
12,75,2,Unknown,1,Unknown,Male,22,Kinesthetic,Unknown,1,55,48,Unknown,1,3,Low,Good (75–89%),Moderate (10–19 hrs),Low
29,78,1,Unknown,2,Unknown,Female,28,Visual,Unknown,1,67,91,Unknown,2,0,High,Good (75–89%),Intensive (>=20 hrs),Low
29,78,2,Unknown,1,Unknown,Female,28,Visual,Unknown,1,67,91,Unknown,2,0,High,Good (75–89%),Intensive (>=20 hrs),Low
19,99,2,Unknown,1,Unknown,Male,25,Reading/Writing,Unknown,1,91,56,Unknown,0,2,Medium,Excellent (>=90%),Moderate (10–19 hrs),Low
19,99,1,Unknown,1,Unknown,Male,25,Reading/Writing,Unknown,1,91,56,Unknown,0,2,Medium,Excellent (>=90%),Moderate (10–19 hrs),Low
19,99,2,Unknown,0,Unknown,Male,25,Reading/Writing,Unknown,1,91,56,Unknown,0,2,Medium,Excellent (>=90%),Moderate (10–19 hrs),Low
19,99,2,Unknown,0,Unknown,Male,25,Reading/Writing,Unknown,1,91,56,Unknown,0,2,Medium,Excellent (>=90%),Moderate (10–19 hrs),Low
19,99,0,Unknown,1,Unknown,Male,25,Reading/Writing,Unknown,1,91,56,Unknown,0,2,Medium,Excellent (>=90%),Moderate (10–19 hrs),Low
